vehicle_make,vehicle_model,vehicle_year,part_name,sample_vin, part_number,category,condition,quality_grade,rarity_level,min_price,max_price,stock,reserved_stock,lead_time_days
Ford,Focus,2020,CV Axle,PRMFS6TWEH5S58TNC,CV -FO2020-22,Drivetrain,Used,C,Limited,38,47,27,0,6
Hyundai,Tucson,2012,Wheel Bearing,GDP8LWWPG1R5N6450,WHE-HY2012-23,Drivetrain,Refurbished,C,Rare,89,149,18,0,7
Chevrolet,Cruze,2016,Shock Absorber,HU44EERUZCGM3AXDF,SHO-CH2016-24,Suspension,New,C,Normal,190,335,35,0,7
Mercedes,E-Class,2011,Brake Pads,4N6MLXPURNC5E0PG7,BRA-ME2011-25,Brakes,New,A,Rare,106,145,35,0,8
Chevrolet,Cruze,2022,Ignition Coil,NYWUCC3U0EYMUGHTS,IGN-CH2022-26,Electrical,New,A,Limited,296,456,30,0,9
Mercedes,GLC,2015,Strut Assembly,S2HVK5RYZBDMUPXVB,STR-ME2015-27,Suspension,Used,B,Rare,272,437,25,0,7
Ford,F-150,2010,AC Compressor,GR04M6VM5X1X13GGN,AC -FO2010-28,HVAC,New,A,Normal,369,570,27,0,3
Toyota,RAV4,2012,Timing Belt Kit,2H3WJ8ZVB569LU71U,TIM-TO2012-29,Engine,Refurbished,C,Limited,199,272,13,0,7
BMW,3 Series,2021,Starter Motor,C1EVSKRF5T3CFBBJL,STA-BM2021-30,Electrical,New,B,Rare,246,309,28,0,6
Ford,Focus,2020,Timing Belt Kit,9HW5Z4D6UERD3DWT6,TIM-FO2020-31,Engine,New,B,Rare,239,387,19,0,9
Ford,Focus,2011,Brake Pads,J09EB9VZVXJSA35HT,BRA-FO2011-32,Brakes,Used,B,Rare,348,488,20,0,3
Ford,F-150,2014,Power Steering Pump,6G0RKMD4E5WM07GEW,POW-FO2014-33,Steering,Used,C,Normal,420,758,38,0,6
Nissan,Sentra,2022,Timing Belt Kit,CHJSEAJM6WBGXD0CP,TIM-NI2022-34,Engine,Refurbished,A,Normal,295,381,23,0,4
BMW,X3,2018,Timing Belt Kit,RXCE7F0JWUCF795M8,TIM-BM2018-35,Engine,Refurbished,A,Rare,355,461,17,0,5
Honda,Civic,2010,Tail Light Assembly,31CVJSUMNXKHMC13G,TAI-HO2010-36,Lighting,New,C,Limited,249,413,11,0,9
Nissan,Sentra,2015,Wheel Bearing,3LUH6ZNUCLARF9DLH,WHE-NI2015-37,Drivetrain,Used,A,Limited,150,250,12,0,6
Mercedes,C-Class,2019,Control Arm,7YC909ZC6XJ6RGF55,CON-ME2019-38,Suspension,Refurbished,B,Limited,366,704,27,0,1
Hyundai,Tucson,2012,Tail Light Assembly,T75Z1DDMMNDGCRDG7,TAI-HY2012-39,Lighting,Refurbished,C,Limited,72,98,9,0,8
Chevrolet,Equinox,2021,Tail Light Assembly,CGTX5SMVJ05R51RAK,TAI-CH2021-40,Lighting,Refurbished,C,Normal,404,646,12,0,4
Hyundai,Sonata,2021,Oxygen Sensor,F2LP9AM2UZLYDL9PD,OXY-HY2021-41,Engine,Refurbished,A,Normal,208,301,15,0,1
Hyundai,Elantra,2018,Oxygen Sensor,AXL4CT1AN3X9J0DVK,OXY-HY2018-42,Engine,Used,B,Rare,164,247,20,0,6
Chevrolet,Malibu,2017,Power Steering Pump,UFE94S56SYEYYTG1K,POW-CH2017-43,Steering,Refurbished,B,Rare,196,304,15,0,1
Kia,Sportage,2011,Brake Rotor,VPD8FEY4E8L14HZFP,BRA-KI2011-44,Brakes,Refurbished,C,Limited,127,253,34,0,8
Mercedes,C-Class,2018,Muffler,TAR4EG640RMFTXC6X,MUF-ME2018-45,Exhaust,New,C,Rare,336,487,40,0,5
Toyota,Highlander,2016,AC Compressor,LWA9AT39CCLAMVNJR,AC -TO2016-46,HVAC,New,A,Rare,136,220,13,0,6
Ford,Focus,2023,Starter Motor,T7JAMNK2GSN6CB897,STA-FO2023-47,Electrical,Used,A,Rare,202,305,33,0,4
Honda,Accord,2011,Radiator,GANY7URZELSNFB7A0,RAD-HO2011-48,Cooling,Used,A,Limited,200,239,18,0,1
Chevrolet,Equinox,2019,Control Arm,SSKK00AS3AA87MD1F,CON-CH2019-49,Suspension,Refurbished,C,Normal,328,604,1,0,10
Mercedes,E-Class,2017,Fuel Pump,APLL89GCXZ8XCNA3M,FUE-ME2017-50,Fuel,Refurbished,B,Normal,107,179,40,0,5
Mercedes,GLC,2019,Radiator,01Y0DU6VFY6P37NH7,RAD-ME2019-51,Cooling,Refurbished,B,Rare,311,562,37,0,10
Kia,Sorento,2020,Oxygen Sensor,ZLA9KA2AXHT97SM4B,OXY-KI2020-52,Engine,Used,C,Normal,82,154,3,0,10
Hyundai,Tucson,2021,Tail Light Assembly,1VL0KSNB140ART482,TAI-HY2021-53,Lighting,Used,A,Rare,284,480,40,0,6
Mercedes,E-Class,2013,AC Compressor,W98J362CU7VAV4NYR,AC -ME2013-54,HVAC,New,C,Normal,163,229,18,0,8
Hyundai,Tucson,2010,Brake Rotor,LVXVTS3EZWKJ89T47,BRA-HY2010-55,Brakes,Refurbished,C,Normal,407,519,18,0,2
BMW,5 Series,2018,Control Arm,ATBAYK7H87LFGHC9P,CON-BM2018-56,Suspension,Used,B,Normal,236,291,10,0,10
Ford,Explorer,2010,Wheel Bearing,TZTZJJFT4LM92WLXV,WHE-FO2010-57,Drivetrain,New,C,Limited,115,147,31,0,8
Hyundai,Sonata,2018,Air Filter,ZLLCX8HTUN6Z69MBR,AIR-HY2018-58,Engine,New,C,Normal,163,207,2,0,8
Kia,Sorento,2020,Strut Assembly,DJLBCBEX082HS8U54,STR-KI2020-59,Suspension,Used,B,Normal,316,409,17,0,3
Chevrolet,Equinox,2012,Oil Filter,KXU232S0HPKJJEYX1,OIL-CH2012-60,Engine,New,C,Limited,49,86,11,0,9
Chevrolet,Malibu,2012,Radiator,H8HERV6JVPDFTY7AJ,RAD-CH2012-61,Cooling,Used,C,Normal,52,72,33,0,7
Hyundai,Tucson,2014,CV Axle,RTT3MU6KP3N9EW739,CV -HY2014-62,Drivetrain,New,C,Normal,389,608,17,0,2
Nissan,Pathfinder,2023,Power Steering Pump,T33TCAH2HAR79AAWY,POW-NI2023-63,Steering,Refurbished,B,Rare,427,607,17,0,3
Toyota,RAV4,2013,Headlight Assembly,WH634111A5FVKW1DR,HEA-TO2013-64,Lighting,New,B,Rare,191,360,32,0,6
Mercedes,GLC,2022,Muffler,BHET9PJ0FNGF2DJS2,MUF-ME2022-65,Exhaust,New,A,Normal,74,133,18,0,5
Ford,F-150,2011,Oxygen Sensor,EYG78H92JE19ZTPGS,OXY-FO2011-66,Engine,Used,C,Normal,123,218,28,0,3
BMW,5 Series,2016,Starter Motor,TWA9L12M1PEWE1RCM,STA-BM2016-67,Electrical,New,A,Normal,27,46,38,0,3
Honda,CR-V,2014,Tail Light Assembly,J1E527W0TPGUTPXTF,TAI-HO2014-68,Lighting,New,C,Rare,364,511,15,0,5
Mercedes,C-Class,2022,Brake Pads,SYJMWG4KV35V4MGGB,BRA-ME2022-69,Brakes,Refurbished,A,Rare,236,389,3,0,5
Nissan,Rogue,2010,Control Arm,V3KWJFM024HVE3D3U,CON-NI2010-70,Suspension,Refurbished,C,Rare,417,535,36,0,2
Chevrolet,Cruze,2018,Air Filter,KYLBA4MNYBMNK8AC0,AIR-CH2018-71,Engine,Refurbished,A,Limited,174,261,1,0,9
BMW,3 Series,2012,Strut Assembly,RA2WXKMU78ADCHAV2,STR-BM2012-72,Suspension,Refurbished,A,Normal,50,75,36,0,9
Mercedes,E-Class,2010,Headlight Assembly,VJ36UZ1SAHNU1V6JH,HEA-ME2010-73,Lighting,New,C,Limited,98,123,40,0,3
Ford,Explorer,2019,Timing Belt Kit,7X3CEK3MKYHA0YZ94,TIM-FO2019-74,Engine,Used,C,Rare,339,540,15,0,6
Nissan,Rogue,2012,Spark Plug Set,FS8U5T2Y1BFEBWHZT,SPA-NI2012-75,Engine,Used,B,Normal,292,416,33,0,10
Kia,Sportage,2010,Wheel Bearing,V1MC0PSCC699TE4YC,WHE-KI2010-76,Drivetrain,Used,C,Limited,399,659,18,0,6
BMW,X3,2011,Water Pump,Y0APG26REG5255Y8V,WAT-BM2011-77,Cooling,New,A,Normal,161,244,37,0,2
Ford,Explorer,2011,CV Axle,2LK7KGG22B75F57JZ,CV -FO2011-78,Drivetrain,Used,A,Normal,258,435,6,0,1
Kia,Sportage,2018,Fuel Injector,Z6ZJ8YL9FYHCP2ANA,FUE-KI2018-79,Fuel,Used,C,Limited,346,671,31,0,4
BMW,5 Series,2022,Starter Motor,44ARAK9LMJGSB1AEC,STA-BM2022-80,Electrical,Used,A,Normal,220,345,3,0,7
Honda,CR-V,2021,Muffler,J2K949URRW891NMKL,MUF-HO2021-81,Exhaust,New,B,Normal,392,646,9,0,9
Honda,CR-V,2014,Water Pump,ANTTABF5D519413F7,WAT-HO2014-82,Cooling,New,C,Normal,325,490,31,0,4
BMW,5 Series,2019,Brake Pads,ME262STP1GGA574N2,BRA-BM2019-83,Brakes,Refurbished,B,Normal,294,428,35,0,1
Toyota,Highlander,2021,Tail Light Assembly,MNF84CX0ZXD2HMCE8,TAI-TO2021-84,Lighting,Refurbished,C,Rare,290,574,7,0,4
Kia,Sorento,2020,Radiator,CL1VBELWCTS00GGCN,RAD-KI2020-85,Cooling,Refurbished,C,Limited,193,224,3,0,4
Hyundai,Elantra,2022,Headlight Assembly,STLDWN1Z4Y4SNVHMN,HEA-HY2022-86,Lighting,New,C,Rare,155,227,14,0,5
Nissan,Pathfinder,2017,Tail Light Assembly,46SW9RXSCZ451HJLN,TAI-NI2017-87,Lighting,Used,B,Rare,198,285,39,0,4
Toyota,RAV4,2022,Air Filter,3S33F729X7T5Z50L5,AIR-TO2022-88,Engine,Refurbished,A,Limited,36,56,32,0,7
Hyundai,Tucson,2010,Radiator,W6FTDJ3CR3355Y9ZL,RAD-HY2010-89,Cooling,New,B,Limited,234,290,9,0,10
Nissan,Sentra,2020,Starter Motor,DHX1MMH7B7UZXETHJ,STA-NI2020-90,Electrical,New,C,Rare,155,264,15,0,7
Chevrolet,Cruze,2011,Muffler,P33GF7GV8CXL8NT9K,MUF-CH2011-91,Exhaust,New,B,Normal,80,134,33,0,8
Hyundai,Elantra,2023,Brake Rotor,08DYL6VHAJVCAHP51,BRA-HY2023-92,Brakes,New,C,Rare,280,420,35,0,4
Chevrolet,Equinox,2016,Spark Plug Set,KKNY8340T3W8230D5,SPA-CH2016-93,Engine,Used,B,Rare,209,277,1,0,1
Nissan,Pathfinder,2022,Muffler,F7U0S733146E16KSU,MUF-NI2022-94,Exhaust,Used,C,Rare,69,103,17,0,7
Ford,Escape,2013,CV Axle,60G7HUK9BCYXMRWG2,CV -FO2013-95,Drivetrain,Refurbished,A,Rare,84,161,20,0,4
BMW,5 Series,2018,Spark Plug Set,46K96CSKPN654CPSE,SPA-BM2018-96,Engine,New,A,Rare,320,594,27,0,9
Ford,Focus,2017,Battery,NKVU9G87GE2UW9MMB,BAT-FO2017-97,Electrical,Refurbished,B,Limited,159,211,10,0,3
Mercedes,GLC,2023,Timing Belt Kit,G0CJTTZ1D7C0DGT7T,TIM-ME2023-98,Engine,Refurbished,A,Normal,78,151,18,0,4
Nissan,Pathfinder,2018,Control Arm,EUP4EGY0TET8XVNX4,CON-NI2018-99,Suspension,New,A,Limited,239,440,34,0,9
Kia,Sportage,2013,Control Arm,TZ1V50VAZFE3WAAU7,CON-KI2013-100,Suspension,Used,C,Rare,230,377,38,0,2
Hyundai,Tucson,2010,Battery,ULEBGY5JA5ZS531JL,BAT-HY2010-101,Electrical,Refurbished,A,Normal,321,452,14,0,4
BMW,3 Series,2017,Muffler,0XAJ2W81FHW1YHMVL,MUF-BM2017-102,Exhaust,New,B,Rare,131,202,29,0,2
Hyundai,Tucson,2021,Spark Plug Set,63MYTRWB90TXJXE20,SPA-HY2021-103,Engine,Used,B,Normal,165,294,40,0,7
Kia,Optima,2016,Timing Belt Kit,1C4H7CP0LMNUH1K4M,TIM-KI2016-104,Engine,Refurbished,A,Rare,310,547,6,0,6
BMW,X3,2022,Ignition Coil,E0S23S3RXETNF4PZ4,IGN-BM2022-105,Electrical,Used,B,Normal,432,653,22,0,4
Honda,CR-V,2020,Water Pump,9VFJ0BBF92PN4J6X6,WAT-HO2020-106,Cooling,New,A,Normal,256,467,35,0,4
Chevrolet,Silverado,2018,Strut Assembly,BW2DJE5KUUAPKSSBL,STR-CH2018-107,Suspension,Used,A,Rare,149,264,25,0,2
Toyota,RAV4,2010,Headlight Assembly,LJUKAZV90DD1HKPKB,HEA-TO2010-108,Lighting,New,A,Limited,321,378,26,0,1
Hyundai,Tucson,2015,Air Filter,CGVHP06C2J1XLU4SN,AIR-HY2015-109,Engine,Refurbished,A,Normal,188,366,7,0,2
Hyundai,Sonata,2016,CV Axle,R7XESJ6FHY0BWV4VT,CV -HY2016-110,Drivetrain,Used,C,Rare,213,405,35,0,3
Honda,Civic,2022,Starter Motor,6Y2GZTSVBUZ3ESYEK,STA-HO2022-111,Electrical,New,A,Limited,210,358,5,0,3
Hyundai,Elantra,2022,Oxygen Sensor,FFWR631JDGBDYPCUW,OXY-HY2022-112,Engine,Refurbished,A,Rare,107,164,36,0,9
Toyota,Highlander,2013,Fuel Injector,PNS2P6WM0SZ0T1E74,FUE-TO2013-113,Fuel,Used,B,Normal,92,176,32,0,6
Honda,Civic,2019,Battery,NHG6Y1B0XPH23UB6V,BAT-HO2019-114,Electrical,New,A,Normal,458,563,7,0,6
BMW,5 Series,2015,Battery,8JPZ25TSRC99LP8S6,BAT-BM2015-115,Electrical,Used,B,Normal,255,381,29,0,1
Chevrolet,Equinox,2011,Air Filter,H1TB37CJ8X371X8LH,AIR-CH2011-116,Engine,Refurbished,C,Rare,406,472,17,0,4
Hyundai,Elantra,2020,AC Compressor,UH1VCVRXBLVJV0PYA,AC -HY2020-117,HVAC,Used,A,Rare,244,440,25,0,7
Toyota,Corolla,2010,Wheel Bearing,5ZSMSF9J5AZMUEW8M,WHE-TO2010-118,Drivetrain,Used,B,Limited,109,204,15,0,6
Honda,CR-V,2019,Strut Assembly,4PV7HL17N3DTPPPA7,STR-HO2019-119,Suspension,Refurbished,C,Limited,134,224,37,0,7
Nissan,Altima,2019,Strut Assembly,F027RTKF8L9YL8RLG,STR-NI2019-120,Suspension,Used,C,Normal,125,221,14,0,5
BMW,X3,2019,Oil Filter,16904MYBCN84MS1JV,OIL-BM2019-121,Engine,New,A,Limited,62,86,16,0,3
Kia,Sorento,2021,Air Filter,1SNT5VH8C6X8TDM5T,AIR-KI2021-122,Engine,Used,B,Rare,162,305,28,0,5
Chevrolet,Malibu,2022,Brake Pads,JA381F94SFHC7U15P,BRA-CH2022-123,Brakes,Used,C,Rare,144,261,29,0,9
Chevrolet,Cruze,2016,Oxygen Sensor,8X31P8FWJXF6C7B8H,OXY-CH2016-124,Engine,Refurbished,C,Rare,133,182,39,0,8
Hyundai,Tucson,2011,Oil Filter,7WTNRT2PTYMWYPYJV,OIL-HY2011-125,Engine,Used,C,Limited,347,440,17,0,1
Kia,Optima,2021,Brake Rotor,9NDXB8ADMKU4RP16P,BRA-KI2021-126,Brakes,Refurbished,A,Normal,388,752,9,0,5
Toyota,Highlander,2013,Fuel Pump,9RND2PZ31ZFELL8N0,FUE-TO2013-127,Fuel,New,A,Limited,421,529,17,0,8
Kia,Sportage,2019,Brake Pads,L1YVK5SV6NRUY5HN7,BRA-KI2019-128,Brakes,Refurbished,C,Normal,202,285,27,0,6
Mercedes,C-Class,2021,Shock Absorber,B4LSK651MA37HB2UW,SHO-ME2021-129,Suspension,New,A,Normal,67,111,24,0,5
Ford,Escape,2014,CV Axle,TLRR4D9BNT4YF7YXG,CV -FO2014-130,Drivetrain,Used,A,Limited,351,508,18,0,8
Hyundai,Elantra,2015,Fuel Pump,K0WWAMAD7DN8YWZ30,FUE-HY2015-131,Fuel,Refurbished,C,Normal,129,195,26,0,10
Mercedes,C-Class,2012,AC Compressor,AAW4KME1KKA2KFGKV,AC -ME2012-132,HVAC,New,C,Normal,103,153,34,0,5
Hyundai,Sonata,2012,Shock Absorber,2W81VEWYNR2C21Y6R,SHO-HY2012-133,Suspension,New,B,Rare,36,43,37,0,7
BMW,3 Series,2018,Alternator,EKZVAT2W7JBPDTDLG,ALT-BM2018-134,Electrical,New,A,Normal,106,137,34,0,3
Chevrolet,Malibu,2015,Brake Rotor,8GZE6MKRNH452SEP9,BRA-CH2015-135,Brakes,Used,C,Limited,125,157,29,0,5
Chevrolet,Cruze,2023,Brake Pads,A3L9WNNEDWVAA98Z4,BRA-CH2023-136,Brakes,Used,B,Normal,352,537,30,0,4
Ford,Focus,2023,Radiator,MNCKE6JTEHCZDZDHV,RAD-FO2023-137,Cooling,Used,A,Rare,448,602,16,0,5
Honda,CR-V,2013,Power Steering Pump,4UUC4J7BPBZ28G478,POW-HO2013-138,Steering,Used,A,Normal,62,75,9,0,1
BMW,3 Series,2023,Battery,GH080VZ6D7LVXA08Z,BAT-BM2023-139,Electrical,Refurbished,C,Rare,52,70,10,0,4
BMW,X3,2023,Starter Motor,FXJJPYZPK35AMX8DS,STA-BM2023-140,Electrical,New,A,Limited,459,659,10,0,9
Chevrolet,Equinox,2021,Radiator,AY53CR9TRB8YU92SW,RAD-CH2021-141,Cooling,Used,B,Limited,284,397,8,0,7
Hyundai,Tucson,2023,Muffler,BSDKNMU02GP5MWYEA,MUF-HY2023-142,Exhaust,New,A,Normal,293,391,20,0,3
Nissan,Sentra,2021,Water Pump,WF642B7MG6EBYMUT9,WAT-NI2021-143,Cooling,Refurbished,A,Rare,170,249,5,0,1
Kia,Optima,2010,Oil Filter,WT5R2YY6KH80TCGFU,OIL-KI2010-144,Engine,New,B,Normal,229,381,23,0,9
Mercedes,GLC,2012,Fuel Pump,PH9BHGZ1BBYN4RD6K,FUE-ME2012-145,Fuel,Used,C,Normal,336,558,36,0,6
Kia,Sorento,2012,Oxygen Sensor,ZTW2FXLZXXMWB2G0D,OXY-KI2012-146,Engine,New,B,Limited,368,652,3,0,3
Toyota,RAV4,2015,Fuel Injector,BKXCVP975FA3AMGC0,FUE-TO2015-147,Fuel,New,C,Normal,190,346,6,0,2
Ford,Explorer,2018,Oxygen Sensor,6CYVUPHE97RR9P38S,OXY-FO2018-148,Engine,Used,B,Limited,136,230,23,0,4
Nissan,Sentra,2014,Water Pump,V559N5NNDW1X5LH6P,WAT-NI2014-149,Cooling,Used,C,Normal,181,336,8,0,9
Hyundai,Sonata,2016,Tail Light Assembly,FJW6UL4CXY8GEVUDP,TAI-HY2016-150,Lighting,New,C,Rare,59,89,26,0,10
Chevrolet,Equinox,2012,AC Compressor,CRYVZG6AR6YCJ3YWW,AC -CH2012-151,HVAC,New,C,Limited,94,157,1,0,8
Toyota,RAV4,2010,Power Steering Pump,XRUD1NBDG4XY17L1C,POW-TO2010-152,Steering,New,A,Normal,288,477,33,0,6
Toyota,Corolla,2023,Tail Light Assembly,XPUBSK0FFXN25DEDA,TAI-TO2023-153,Lighting,Refurbished,C,Limited,257,359,8,0,7
Kia,Sorento,2019,Timing Belt Kit,HMUSHK7EMV3CYJ087,TIM-KI2019-154,Engine,Refurbished,C,Normal,234,442,34,0,4
Nissan,Altima,2020,Headlight Assembly,HUANB8L8C1FYHEGS9,HEA-NI2020-155,Lighting,Refurbished,B,Limited,417,533,29,0,10
Hyundai,Tucson,2012,Water Pump,GZE1SXMMU74FEVDHY,WAT-HY2012-156,Cooling,Used,B,Rare,382,617,29,0,5
Chevrolet,Cruze,2023,Oxygen Sensor,U95DB2LAGL9LKZ8UW,OXY-CH2023-157,Engine,New,B,Rare,308,394,18,0,7
Chevrolet,Malibu,2023,Spark Plug Set,S24024ZGPMD8NJ3U1,SPA-CH2023-158,Engine,Used,C,Rare,135,188,17,0,1
Nissan,Sentra,2021,Strut Assembly,RW8F7A47NVD0YDW5X,STR-NI2021-159,Suspension,Used,A,Limited,340,526,6,0,9
Ford,Explorer,2011,Water Pump,ZYTWK0S0XW4S6UVEX,WAT-FO2011-160,Cooling,Used,B,Limited,395,484,37,0,10
Ford,Explorer,2020,Strut Assembly,DLURCN5L51J28U0UK,STR-FO2020-161,Suspension,New,C,Limited,300,514,6,0,9
Toyota,RAV4,2018,Spark Plug Set,VSM8ESX32K9RW995A,SPA-TO2018-162,Engine,Refurbished,B,Rare,161,220,18,0,5
Ford,Explorer,2017,Spark Plug Set,PEV2T3T122HHVUXE5,SPA-FO2017-163,Engine,Refurbished,C,Limited,260,350,37,0,2
Chevrolet,Equinox,2013,Spark Plug Set,BPDN0F914LJNJEGWM,SPA-CH2013-164,Engine,Refurbished,A,Rare,302,421,9,0,4
Ford,Focus,2019,Power Steering Pump,YFMY6GZ8PW4VU0BEJ,POW-FO2019-165,Steering,Used,C,Limited,171,265,8,0,4
Chevrolet,Silverado,2012,Brake Rotor,UJB7CYN84C01L8FY2,BRA-CH2012-166,Brakes,Used,C,Limited,243,302,38,0,8
Toyota,Camry,2016,Alternator,848WLU9ZXZL2T8KLW,ALT-TO2016-167,Electrical,Used,A,Normal,88,105,16,0,3
Toyota,Camry,2012,Control Arm,A6Z31PAE04HS8G9AV,CON-TO2012-168,Suspension,New,A,Limited,309,578,10,0,6
Nissan,Pathfinder,2014,AC Compressor,238EYKF9J3RJWPB82,AC -NI2014-169,HVAC,New,C,Limited,99,161,38,0,10
Mercedes,GLC,2022,Brake Rotor,FRVD2SWU99U3D2T27,BRA-ME2022-170,Brakes,Used,A,Limited,169,281,15,0,1
Ford,Focus,2022,Starter Motor,6FC181U9MBB4MRNTW,STA-FO2022-171,Electrical,Refurbished,C,Normal,390,590,36,0,6
Chevrolet,Malibu,2010,Timing Belt Kit,4G1WLBY4VAEJ8RYFF,TIM-CH2010-172,Engine,New,C,Limited,237,380,35,0,7
Kia,Sportage,2020,Air Filter,SW94NTU9F3N341R7V,AIR-KI2020-173,Engine,Used,C,Normal,280,490,11,0,8
Kia,Sportage,2017,Shock Absorber,65N1WZUUHB19HNPM1,SHO-KI2017-174,Suspension,Used,A,Rare,68,91,4,0,9
Honda,Civic,2014,Brake Rotor,ULYN46G2EBK1PJ4XR,BRA-HO2014-175,Brakes,Used,A,Rare,176,243,10,0,6
Chevrolet,Silverado,2010,Air Filter,3GRF04B5KHKG2002W,AIR-CH2010-176,Engine,New,A,Normal,352,543,31,0,10
Honda,CR-V,2012,Wheel Bearing,SER9E0F3PLSFDX7K4,WHE-HO2012-177,Drivetrain,New,C,Normal,234,363,23,0,6
Chevrolet,Malibu,2014,Air Filter,YFN7AJ69RSP7TSDBX,AIR-CH2014-178,Engine,Used,B,Limited,328,383,32,0,4
BMW,3 Series,2019,Water Pump,BM4DJBV00PL30G88U,WAT-BM2019-179,Cooling,Used,B,Normal,277,469,31,0,3
Nissan,Sentra,2020,Water Pump,N7U4TAPLZTF3ZH4X8,WAT-NI2020-180,Cooling,Refurbished,A,Normal,138,177,14,0,10
Toyota,RAV4,2017,Headlight Assembly,RUTMVC1CRY22KCRFG,HEA-TO2017-181,Lighting,Refurbished,C,Rare,438,634,35,0,10
Toyota,Highlander,2017,Headlight Assembly,346WY0YJ2PS63YGVW,HEA-TO2017-182,Lighting,New,C,Rare,406,553,36,0,8
Honda,CR-V,2012,Power Steering Pump,7DZ1NSX39PKDVFRSF,POW-HO2012-183,Steering,Refurbished,B,Rare,113,163,15,0,2
Kia,Optima,2019,CV Axle,78TBLF1VP6R2ZX13C,CV -KI2019-184,Drivetrain,Refurbished,C,Normal,334,443,20,0,4
Kia,Sportage,2023,Spark Plug Set,Y16FFLW3EZDK3CSKN,SPA-KI2023-185,Engine,New,C,Rare,181,358,30,0,7
Hyundai,Sonata,2016,Brake Rotor,DTJN4PRBESH71MVRK,BRA-HY2016-186,Brakes,New,B,Normal,45,68,25,0,6
Honda,Accord,2016,Tail Light Assembly,BCSURG4AZK8T01UJK,TAI-HO2016-187,Lighting,New,C,Rare,254,402,36,0,6
Kia,Sorento,2016,Tail Light Assembly,VLGWL4JGAYS5FXA7B,TAI-KI2016-188,Lighting,Used,B,Rare,145,276,13,0,4
Toyota,Corolla,2018,Fuel Injector,U676D4AP91W69LKYV,FUE-TO2018-189,Fuel,New,B,Rare,254,412,15,0,5
Kia,Sorento,2012,Battery,04EXVHVAMD1JKD882,BAT-KI2012-190,Electrical,Refurbished,C,Normal,128,178,3,0,2
